INFO:root:[LightGBM] [Warning] min_data_in_leaf is set=2800, min_child_samples=20 will be ignored. Current value: min_data_in_leaf=2800
INFO:root:[LightGBM] [Warning] min_gain_to_split is set=10.216909417532309, min_split_gain=0.0 will be ignored. Current value: min_gain_to_split=10.216909417532309
INFO:root:[1]	valid_0's ndcg@5: 0.315024
INFO:root:[2]	valid_0's ndcg@5: 0.339038
INFO:root:[3]	valid_0's ndcg@5: 0.347452
INFO:root:[4]	valid_0's ndcg@5: 0.354524
INFO:root:[5]	valid_0's ndcg@5: 0.356521
INFO:root:[6]	valid_0's ndcg@5: 0.359429
INFO:root:[7]	valid_0's ndcg@5: 0.362344
INFO:root:[8]	valid_0's ndcg@5: 0.363143
INFO:root:[9]	valid_0's ndcg@5: 0.364688
INFO:root:[10]	valid_0's ndcg@5: 0.366581
INFO:root:[11]	valid_0's ndcg@5: 0.366762
INFO:root:[12]	valid_0's ndcg@5: 0.368198
INFO:root:[13]	valid_0's ndcg@5: 0.369747
INFO:root:[14]	valid_0's ndcg@5: 0.368997
INFO:root:[15]	valid_0's ndcg@5: 0.369246
INFO:root:[16]	valid_0's ndcg@5: 0.370475
INFO:root:[17]	valid_0's ndcg@5: 0.37077
INFO:root:[18]	valid_0's ndcg@5: 0.371016
INFO:root:[19]	valid_0's ndcg@5: 0.371718
INFO:root:[20]	valid_0's ndcg@5: 0.371981
INFO:root:[21]	valid_0's ndcg@5: 0.371879
INFO:root:[22]	valid_0's ndcg@5: 0.372489
INFO:root:[23]	valid_0's ndcg@5: 0.37313
INFO:root:[24]	valid_0's ndcg@5: 0.372669
INFO:root:[25]	valid_0's ndcg@5: 0.373301
INFO:root:[26]	valid_0's ndcg@5: 0.374011
INFO:root:[27]	valid_0's ndcg@5: 0.373945
INFO:root:[28]	valid_0's ndcg@5: 0.373916
INFO:root:[29]	valid_0's ndcg@5: 0.373694
INFO:root:[30]	valid_0's ndcg@5: 0.375002
INFO:root:[31]	valid_0's ndcg@5: 0.375734
INFO:root:[32]	valid_0's ndcg@5: 0.376355
INFO:root:[33]	valid_0's ndcg@5: 0.376492
INFO:root:[34]	valid_0's ndcg@5: 0.376128
INFO:root:[35]	valid_0's ndcg@5: 0.375869
INFO:root:[36]	valid_0's ndcg@5: 0.376212
INFO:root:[37]	valid_0's ndcg@5: 0.375956
INFO:root:[38]	valid_0's ndcg@5: 0.376302
INFO:root:[39]	valid_0's ndcg@5: 0.37678
INFO:root:[40]	valid_0's ndcg@5: 0.377072
INFO:root:[41]	valid_0's ndcg@5: 0.376945
INFO:root:[42]	valid_0's ndcg@5: 0.377135
