WARNING:root:Using categorical_feature in Dataset.
WARNING:root:categorical_feature in Dataset is overridden.
New categorical_feature is ['promotion_flag', 'prop_brand_bool', 'prop_country_id', 'site_id']
INFO:root:[LightGBM] [Warning] min_data_in_leaf is set=4400, min_child_samples=20 will be ignored. Current value: min_data_in_leaf=4400
WARNING:root:Overriding the parameters from Reference Dataset.
WARNING:root:categorical_column in param dict is overridden.
INFO:root:[1]	valid_0's ndcg@5: 0.25288
INFO:root:[2]	valid_0's ndcg@5: 0.31963
INFO:root:[3]	valid_0's ndcg@5: 0.343467
INFO:root:[4]	valid_0's ndcg@5: 0.350943
INFO:root:[5]	valid_0's ndcg@5: 0.359315
INFO:root:[6]	valid_0's ndcg@5: 0.368514
INFO:root:[7]	valid_0's ndcg@5: 0.369124
INFO:root:[8]	valid_0's ndcg@5: 0.374324
INFO:root:[9]	valid_0's ndcg@5: 0.374324
INFO:root:[10]	valid_0's ndcg@5: 0.375941
INFO:root:[11]	valid_0's ndcg@5: 0.37755
INFO:root:[12]	valid_0's ndcg@5: 0.379404
INFO:root:[13]	valid_0's ndcg@5: 0.37955
INFO:root:[14]	valid_0's ndcg@5: 0.380781
INFO:root:[15]	valid_0's ndcg@5: 0.381854
INFO:root:[16]	valid_0's ndcg@5: 0.38234
INFO:root:[17]	valid_0's ndcg@5: 0.382384
INFO:root:[18]	valid_0's ndcg@5: 0.38267
INFO:root:[19]	valid_0's ndcg@5: 0.383172
INFO:root:[20]	valid_0's ndcg@5: 0.384107
INFO:root:[21]	valid_0's ndcg@5: 0.384257
INFO:root:[22]	valid_0's ndcg@5: 0.385062
INFO:root:[23]	valid_0's ndcg@5: 0.385291
INFO:root:[24]	valid_0's ndcg@5: 0.385803
INFO:root:[25]	valid_0's ndcg@5: 0.384915
INFO:root:[26]	valid_0's ndcg@5: 0.387056
INFO:root:[27]	valid_0's ndcg@5: 0.387704
INFO:root:[28]	valid_0's ndcg@5: 0.388341
INFO:root:[29]	valid_0's ndcg@5: 0.388844
INFO:root:[30]	valid_0's ndcg@5: 0.387546
INFO:root:[31]	valid_0's ndcg@5: 0.387776
INFO:root:[32]	valid_0's ndcg@5: 0.388323
INFO:root:[33]	valid_0's ndcg@5: 0.388243
INFO:root:[34]	valid_0's ndcg@5: 0.389038
INFO:root:[35]	valid_0's ndcg@5: 0.389491
INFO:root:[36]	valid_0's ndcg@5: 0.389799
INFO:root:[37]	valid_0's ndcg@5: 0.390751
INFO:root:[38]	valid_0's ndcg@5: 0.391225
INFO:root:[39]	valid_0's ndcg@5: 0.3917
INFO:root:[40]	valid_0's ndcg@5: 0.391116
INFO:root:[41]	valid_0's ndcg@5: 0.391509
INFO:root:[42]	valid_0's ndcg@5: 0.391373
INFO:root:[43]	valid_0's ndcg@5: 0.39137
INFO:root:[44]	valid_0's ndcg@5: 0.392034
INFO:root:[45]	valid_0's ndcg@5: 0.39251
INFO:root:[46]	valid_0's ndcg@5: 0.392559
INFO:root:[47]	valid_0's ndcg@5: 0.393101
INFO:root:[48]	valid_0's ndcg@5: 0.392912
INFO:root:[49]	valid_0's ndcg@5: 0.39363
INFO:root:[50]	valid_0's ndcg@5: 0.393521
INFO:root:[51]	valid_0's ndcg@5: 0.392867
INFO:root:[52]	valid_0's ndcg@5: 0.393543
INFO:root:[53]	valid_0's ndcg@5: 0.393431
INFO:root:[54]	valid_0's ndcg@5: 0.393305
INFO:root:[55]	valid_0's ndcg@5: 0.393262
INFO:root:[56]	valid_0's ndcg@5: 0.393733
INFO:root:[57]	valid_0's ndcg@5: 0.393259
INFO:root:[58]	valid_0's ndcg@5: 0.39371
INFO:root:[59]	valid_0's ndcg@5: 0.393481
INFO:root:[60]	valid_0's ndcg@5: 0.393703
INFO:root:[61]	valid_0's ndcg@5: 0.393935
INFO:root:[62]	valid_0's ndcg@5: 0.394838
INFO:root:[63]	valid_0's ndcg@5: 0.395498
INFO:root:[64]	valid_0's ndcg@5: 0.395573
INFO:root:[65]	valid_0's ndcg@5: 0.395995
INFO:root:[66]	valid_0's ndcg@5: 0.395881
INFO:root:[67]	valid_0's ndcg@5: 0.395761
INFO:root:[68]	valid_0's ndcg@5: 0.396123
INFO:root:[69]	valid_0's ndcg@5: 0.39617
INFO:root:[70]	valid_0's ndcg@5: 0.396591
INFO:root:[71]	valid_0's ndcg@5: 0.39668
INFO:root:[72]	valid_0's ndcg@5: 0.397634
INFO:root:[73]	valid_0's ndcg@5: 0.39727
INFO:root:[74]	valid_0's ndcg@5: 0.39767
INFO:root:[75]	valid_0's ndcg@5: 0.397636
INFO:root:[76]	valid_0's ndcg@5: 0.398202
